Ship Code;Lpp min;Ntotal;E(L);std(L);E(Cb);StDev(Cb);E(L/B);StDev(L/B);E(B/D);StDev(B/D);E(D/T);StDev(D/T);E(V);StDev(V);Bulb pct;E(DWT);std(DWT);E(Fuel);std(Fuel)
7;300;47;307;7;0.39;0.42;6.16;1.04;2.02;0.13;1.40;0.11;13.9;1.03;1.00;220693;57103;5279;1.734.464.235
7;325;4;327;1;0.63;0.42;5.64;0.34;1.87;0.16;1.39;0.09;13.8;0.50;1.00;324859;27796;6555;1.591.550.371
7;350;0;;;;;;;;;;;;;0.00;;;;
7;375;0;;;;;;;;;;;;;0.00;;;;
7;400;0;;;;;;;;;;;;;0.00;;;;
8;-1;1161;123;62;0.16;0.27;5.24;0.91;2.42;1.10;1.91;0.80;16.7;4.06;0.87;10476;8639;2086;1.731.381.582
8;0;47;22;2;0.18;0.33;3.23;0.37;3.38;1.06;1.63;0.57;10.4;4.51;0.09;1881;4829;450;1.065.301.226
8;25;292;40;6;0.05;0.18;4.11;0.51;3.57;0.64;1.35;0.20;9.5;1.80;0.00;529;274;85;7.279.235.054
8;50;137;58;7;0.10;0.27;4.52;0.52;3.63;0.67;1.44;0.27;9.9;3.03;0.23;1083;538;201;1.525.180.988
8;75;61;90;7;0.23;0.29;5.13;0.61;2.28;0.82;1.67;0.60;14.5;1.34;0.93;3128;1361;459;2.249.448.741
8;100;58;111;7;0.23;0.30;5.71;0.52;2.23;0.80;1.66;0.64;16.5;1.91;1.00;4361;1832;608;2.018.219.786
8;125;60;141;7;0.18;0.30;6.00;0.90;2.05;0.78;1.90;0.72;18.1;2.22;0.96;7587;2182;1463;5.016.199.871
8;150;228;166;6;0.21;0.28;5.55;0.37;1.82;0.66;2.21;0.87;18.8;1.32;0.99;13251;3583;2449;1.996.862.466
8;175;257;188;5;0.20;0.28;5.93;0.27;1.58;0.64;2.43;0.87;19.3;1.07;1.00;19146;3632;2976;8.313.225.625
8;200;12;216;8;0.25;0.24;6.70;0.23;1.38;0.67;2.60;0.82;20.2;0.74;1.00;25106;4825;2285;
8;225;9;236;11;0.48;0.36;7.31;0.33;1.79;0.28;1.56;0.23;20.0;0.79;0.88;42665;3894;7392;1.363.545.362
8;250;0;;;;;;;;;;;;;0.00;;;;
8;275;0;;;;;;;;;;;;;0.00;;;;
8;300;0;;;;;;;;;;;;;0.00;;;;
8;325;0;;;;;;;;;;;;;0.00;;;;
8;350;0;;;;;;;;;;;;;0.00;;;;
8;375;0;;;;;;;;;;;;;0.00;;;;
8;400;0;;;;;;;;;;;;;0.00;;;;
9;-1;2999;80;60;0.16;0.26;4.78;1.42;2.72;0.88;1.81;0.58;17.9;6.07;0.61;1703;2810;639;9.021.959.433
